id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
18381.0,Florian Miguel,Florian Miguel,male,1996-09-01T00:00:00+00:00,70.0,179.0,SD Huesca,HUE,https://assets.laliga.com/assets/2019/06/07/medium/huesca.png,3.0,Defender,https://assets.laliga.com/squad/2022/t2894/p200666/512x556/p200666_t2894_2022_1_001_000.png,46.0,30.0,0.0,0.0,13.0,0.0,11.0,144.0,1.0,23.0,38.0,7.0,5.0,746.0,0.0,0.0,0.0,3.0,1.0,6.0,5.0,51.0,216.0,344.0,503.0,91.0,36.0,349.0,763.0,46.0,25.0,9.0,77.0,132.0,6.0,Goalkeeper,1.0666666666666667
1352.0,Sergio Postigo,Postigo,male,1988-11-04T00:00:00+00:00,78.0,184.0,Levante UD,LEV,https://assets.laliga.com/assets/2019/06/07/medium/levante.png,15.0,Defender,https://assets.laliga.com/squad/2022/t855/p90400/512x556/p90400_t855_2022_1_001_000.png,9.0,16.0,0.0,0.0,3.0,0.0,5.0,24.0,0.0,8.0,17.0,1.0,1.0,624.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,160.0,406.0,515.0,45.0,13.0,112.0,653.0,10.0,5.0,-1.0,43.0,45.0,4.0,Goalkeeper,1.0625
7162.0,Miguel Ángel Atienza,Atienza,male,1999-05-27T00:00:00+00:00,,186.0,Burgos CF,BUR,https://assets.laliga.com/assets/2021/06/24/medium/8de24d38ab1472bbae1620d36582d7bd.png,5.0,Midfielder,https://assets.laliga.com/squad/2022/t951/p434631/512x556/p434631_t951_2022_1_001_000.png,67.0,34.0,0.0,0.0,18.0,0.0,11.0,175.0,1.0,19.0,52.0,12.0,0.0,1048.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,62.0,402.0,456.0,796.0,70.0,44.0,263.0,1061.0,70.0,14.0,5.0,47.0,156.0,9.0,Goalkeeper,1.0588235294117647
219.0,Borja González Tomás,Borja,male,1992-08-25T00:00:00+00:00,83.0,186.0,Real Oviedo,OVI,https://assets.laliga.com/assets/2019/06/07/medium/oviedo.png,9.0,Forward,https://assets.laliga.com/squad/2022/t187/p83091/512x556/p83091_t187_2022_1_001_000.png,102.0,31.0,0.0,0.0,4.0,0.0,10.0,168.0,8.0,18.0,8.0,16.0,23.0,531.0,0.0,0.0,0.0,20.0,0.0,3.0,6.0,7.0,242.0,129.0,361.0,28.0,48.0,317.0,572.0,17.0,123.0,11.0,11.0,193.0,7.0,Goalkeeper,1.032258064516129
14856.0,Enzo Loiodice,Loiodice,male,2000-11-27T00:00:00+00:00,60.0,176.0,UD Las Palmas,LPA,https://assets.laliga.com/assets/2019/06/07/medium/las-palmas.png,12.0,Midfielder,https://assets.laliga.com/squad/2022/t407/p449718/512x556/p449718_t407_2022_1_001_000.png,28.0,32.0,2.0,0.0,2.0,0.0,9.0,206.0,3.0,13.0,20.0,35.0,2.0,1468.0,0.0,1.0,0.0,12.0,0.0,2.0,41.0,66.0,770.0,470.0,1171.0,6.0,47.0,409.0,1480.0,81.0,56.0,22.0,30.0,213.0,7.0,Goalkeeper,1.0
27884.0,Carlos Izquierdoz,Izquierdoz,male,1988-11-03T00:00:00+00:00,88.0,185.0,Real Sporting,SPO,https://assets.laliga.com/assets/2019/06/07/medium/sporting.png,24.0,Defender,https://assets.laliga.com/squad/2022/t616/p86264/512x556/p86264_t616_2022_1_001_000.png,89.0,28.0,1.0,0.0,21.0,0.0,9.0,141.0,1.0,21.0,48.0,14.0,3.0,1188.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,107.0,338.0,676.0,905.0,119.0,26.0,263.0,1251.0,41.0,33.0,2.0,115.0,124.0,5.0,Goalkeeper,0.8571428571428571
12768.0,Toni Datkovic,Datkovic,male,1993-11-06T00:00:00+00:00,78.0,190.0,FC Cartagena,CAR,https://assets.laliga.com/assets/2022/02/11/medium/1628caa9b2002a11e564eb84b3677f78.png,6.0,Defender,https://assets.laliga.com/squad/2022/t3554/p192757/512x556/p192757_t3554_2022_1_001_000.png,67.0,33.0,1.0,0.0,15.0,0.0,12.0,121.0,0.0,35.0,42.0,8.0,2.0,1582.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,116.0,331.0,1029.0,1238.0,109.0,33.0,352.0,1632.0,44.0,19.0,9.0,112.0,166.0,11.0,Goalkeeper,0.7575757575757576
14080.0,José Manuel Arias Copete,Copete,male,1999-10-10T00:00:00+00:00,73.0,192.0,RCD Mallorca,MLL,https://assets.laliga.com/assets/2023/03/22/medium/013ae97735bc8e519dcf30f6826168ca.png,6.0,Defender,https://assets.laliga.com/squad/2022/t181/p500759/512x556/p500759_t181_2022_1_001_000.png,25.0,20.0,0.0,0.0,8.0,0.0,6.0,89.0,0.0,15.0,32.0,2.0,2.0,619.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,65.0,203.0,310.0,448.0,55.0,35.0,159.0,646.0,35.0,14.0,0.0,58.0,75.0,7.0,Goalkeeper,0.75
1208.0,Stefan Mitrovic,Mitrovic,male,1990-05-22T00:00:00+00:00,84.0,189.0,Getafe CF,GET,https://assets.laliga.com/assets/2019/06/07/medium/getafe.png,23.0,Defender,https://assets.laliga.com/squad/2022/t1450/p112945/512x556/p112945_t1450_2022_1_001_000.png,27.0,15.0,0.0,0.0,7.0,0.0,5.0,35.0,0.0,14.0,11.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,68.0,244.0,281.0,65.0,8.0,75.0,384.0,5.0,6.0,0.0,29.0,43.0,3.0,Goalkeeper,0.7333333333333333
5770.0,Francisco Javier Hidalgo,Son,male,1994-03-30T00:00:00+00:00,72.0,178.0,Levante UD,LEV,https://assets.laliga.com/assets/2019/06/07/medium/levante.png,2.0,Midfielder,https://assets.laliga.com/squad/2022/t855/p244636/512x556/p244636_t855_2022_1_001_000.png,11.0,29.0,0.0,0.0,3.0,0.0,8.0,74.0,1.0,19.0,27.0,23.0,1.0,999.0,0.0,0.0,0.0,3.0,0.0,18.0,11.0,73.0,405.0,420.0,733.0,49.0,13.0,335.0,1012.0,40.0,21.0,12.0,76.0,130.0,1.0,Goalkeeper,0.7241379310344828
1061.0,Diego Rico,Rico,male,1993-02-23T00:00:00+00:00,78.0,180.0,Real Sociedad,RSO,https://assets.laliga.com/assets/2019/06/07/medium/real-sociedad.png,15.0,Defender,https://assets.laliga.com/squad/2022/t188/p171129/512x556/p171129_t188_2022_1_001_000.png,17.0,18.0,0.0,0.0,4.0,0.0,5.0,84.0,0.0,12.0,19.0,10.0,1.0,669.0,0.0,0.0,0.0,2.0,0.0,13.0,14.0,36.0,294.0,262.0,507.0,31.0,26.0,260.0,689.0,29.0,7.0,9.0,43.0,103.0,3.0,Goalkeeper,0.7222222222222222
