id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
14846.0,Jon Morcillo,Morci,male,1998-09-15T00:00:00+00:00,72.0,183.0,Athletic Club,ATH,https://assets.laliga.com/assets/2019/06/07/medium/athletic.png,2.0,Forward,https://assets.laliga.com/squad/2022/t174/p466558/512x556/p466558_t174_2022_1_001_000.png,1.0,10.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,23.0,9.0,30.0,0.0,1.0,14.0,37.0,1.0,3.0,0.0,1.0,6.0,0.0,Defender,3.869999999999999
15140.0,Roko Baturina,Baturina,male,2000-06-20T00:00:00+00:00,82.0,187.0,R. Racing Club,RAC,https://assets.laliga.com/assets/2019/06/07/medium/racing.png,11.0,Forward,,20.0,10.0,2.0,0.0,1.0,0.0,0.0,44.0,2.0,7.0,0.0,4.0,7.0,67.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,36.0,17.0,52.0,6.0,3.0,56.0,72.0,1.0,27.0,6.0,0.0,19.0,1.0,Goalkeeper,2.219999999999999
1479.0,Iago Aspas,Iago Aspas,male,1987-08-01T00:00:00+00:00,67.0,176.0,RC Celta,CEL,https://assets.laliga.com/assets/2019/06/07/medium/celta.png,10.0,Forward,https://assets.laliga.com/squad/2022/t176/p40270/512x556/p40270_t176_2022_1_001_000.png,25.0,28.0,3.0,6.0,1.0,0.0,5.0,99.0,12.0,39.0,6.0,64.0,9.0,934.0,0.0,0.0,0.0,27.0,0.0,2.0,16.0,50.0,554.0,215.0,715.0,17.0,14.0,338.0,966.0,6.0,115.0,19.0,18.0,183.0,3.0,Goalkeeper,2.160000000000025
14997.0,David Argüelles,Argüelles,male,2002-01-10T00:00:00+00:00,,,Real Sporting,SPO,https://assets.laliga.com/assets/2019/06/07/medium/sporting.png,27.0,Defender,https://assets.laliga.com/squad/2022/t616/p514190/512x556/p514190_t616_2022_1_001_000.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,2.03
9000.0,Umar Sadiq,Sadiq,male,1997-02-02T00:00:00+00:00,75.0,192.0,Real Sociedad,RSO,https://assets.laliga.com/assets/2019/06/07/medium/real-sociedad.png,25.0,Forward,https://assets.laliga.com/squad/2022/t188/p196878/512x556/p196878_t188_2022_1_001_000.png,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,2.0,12.0,0.0,3.0,8.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,Defender,1.6300000000000008
27917.0,Malcom Abdulai Ares Djaló,Adu Ares,male,2001-10-13T00:00:00+00:00,,183.0,Athletic Club,ATH,https://assets.laliga.com/assets/2019/06/07/medium/athletic.png,29.0,Forward,https://assets.laliga.com/squad/2022/t174/p589574/512x556/p589574_t174_2022_1_001_000.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,1.57
5712.0,Leyre Monente,Leyre Monente,female,2000-02-15T00:00:00+00:00,64.0,167.0,Athletic Club,ATH,https://assets.laliga.com/assets/2019/06/07/medium/athletic-femenino.png,10.0,Forward,https://assets.laliga.com/squad/2022/t12034/p212409/512x556/p212409_t12034_2022_0_001_000.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,Defender,1.54
27912.0,Lucía Moral,Lucía Moral,female,2004-02-11T00:00:00+00:00,,,Atlético de Madrid,ATM,https://assets.laliga.com/assets/2019/06/07/medium/atletico-feminas.png,26.0,Forward,https://assets.laliga.com/squad/2022/t11212/p504873/512x556/p504873_t11212_2022_1_001_000.png,2.0,12.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,1.0,2.0,1.0,53.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,30.0,11.0,37.0,0.0,8.0,37.0,55.0,7.0,14.0,3.0,2.0,14.0,0.0,Goalkeeper,0.5499999999999972
25407.0,Iker Benito,I.b.sanchez,male,2002-08-10T00:00:00+00:00,,,CA Osasuna,OSA,https://assets.laliga.com/assets/2019/06/07/medium/osasuna.png,33.0,Forward,https://assets.laliga.com/squad/2022/t450/p546329/512x556/p546329_t450_2022_1_001_000.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,Midfielder,0.5299999999999998
14948.0,Daniel Vidal,Dani Vidal,male,2000-05-16T00:00:00+00:00,,,CD Lugo,LUG,https://assets.laliga.com/assets/2019/06/07/medium/lugo.png,28.0,Midfielder,https://assets.laliga.com/squad/2022/t5730/p498053/512x556/p498053_t5730_2022_1_001_000.png,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,13.0,27.0,0.0,1.0,2.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,Forward,0.31999999999999984
25424.0,Gisela Robledo,Gisela Robledo,female,2003-05-13T00:00:00+00:00,57.0,158.0,UDG Tenerife,UDG,https://assets.laliga.com/assets/2019/06/07/medium/granadilla.png,7.0,Forward,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,2.0,8.0,0.0,3.0,16.0,12.0,2.0,4.0,1.0,1.0,3.0,0.0,Goalkeeper,0.11999999999999922
